permutation,label,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,n
original,GuiltMoreLikely,51,28,8,259,0.6455696202531646,0.864406779661017,0.9024390243902439,0.7391304347826088,0.8959537572254336,346
original,GuiltLessLikely,9,8,22,307,0.5294117647058824,0.2903225806451613,0.9746031746031746,0.375,0.9132947976878613,346
original,NoInformation_Evidence,63,16,23,244,0.7974683544303798,0.7325581395348837,0.9384615384615385,0.7636363636363637,0.8872832369942196,346
original,InnocentUntilProvenGuilty,7,34,2,303,0.17073170731707318,0.7777777777777778,0.8991097922848664,0.27999999999999997,0.8959537572254336,346
original,Confound,0,0,22,324,0.0,0.0,1.0,0.0,0.9364161849710982,346
original,Other,5,2,134,205,0.7142857142857143,0.03597122302158273,0.9903381642512077,0.0684931506849315,0.6069364161849711,346
