Code,N_compared,TP,FP,FN,TN,Human Yes %,Model Yes %,McNemar p,Cohen kappa,McNemar p (FDR)
GuiltMoreLikely,346,38,21,21,266,17.052023121387283,17.052023121387283,1.0,0.5708970649028524,1.0
GuiltLessLikely,346,15,21,16,294,8.959537572254336,10.404624277456648,0.5113757815852296,0.388926014319809,0.6136509379022754
NoInformation_Evidence,346,22,7,64,253,24.85549132947977,8.38150289017341,1.2596743309903347e-12,0.29412102752715363,3.779022992971004e-12
InnocentUntilProvenGuilty,346,2,3,7,334,2.601156069364162,1.4450867052023122,0.34375,0.27219183845183004,0.515625
Confound,346,1,0,21,324,6.358381502890173,0.2890173410404624,9.5367431640625e-7,0.0818802122820318,1.9073486328125e-6
Other,346,0,0,139,207,40.17341040462428,0.0,2.8698592549372254e-42,0.0,1.7219155529623352e-41
