Code,N_compared,TP,FP,FN,TN,Human Yes %,Model Yes %,McNemar p,Cohen kappa,McNemar p (FDR)
GuiltMoreLikely,346,58,57,1,230,17.052023121387283,33.23699421965318,4.0939474033052647e-16,0.5696701977098255,6.140921104957897e-16
GuiltLessLikely,346,31,148,0,167,8.959537572254336,51.73410404624278,5.605193857299268e-45,0.1681881680257301,3.363116314379561e-44
NoInformation_Evidence,346,84,90,2,170,24.85549132947977,50.28901734104046,1.7282743364816433e-24,0.4697494669509594,3.4565486729632865e-24
InnocentUntilProvenGuilty,346,9,138,0,199,2.601156069364162,42.48554913294797,5.739718509874451e-42,0.06978375219170063,1.7219155529623352e-41
Confound,346,5,47,17,277,6.358381502890173,15.028901734104046,0.0002268823828832806,0.05026591182020934,0.0002722588594599367
Other,346,62,102,77,105,40.17341040462428,47.398843930635834,0.07254166975912647,-0.045370151571414,0.07254166975912647
